"","return_year","age_class","CRITFC_prop_at_age","CRITFC_method","ONA_prop_at_age","ONA_method"
"135",1995,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"136",1996,"prop_age_1.1","0.0756013745704467","SPA - Mixed Stock Adjusted?",NA,NA
"137",1996,"prop_age_1.2","0.859106529209622","SPA - Mixed Stock Adjusted?",NA,NA
"138",1996,"prop_age_1.3","0.0378006872852234","SPA - Mixed Stock Adjusted?",NA,NA
"139",1996,"prop_age_2.1","0","SPA - Mixed Stock Adjusted?",NA,NA
"140",1996,"prop_age_2.2","0.0274914089347079","SPA - Mixed Stock Adjusted?",NA,NA
"141",1996,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"142",1996,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"143",1996,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"144",1996,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"145",1996,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"146",1997,"prop_age_1.1","0","SPA - Mixed Stock Adjusted?",NA,NA
"147",1997,"prop_age_1.2","0.956896551724138","SPA - Mixed Stock Adjusted?",NA,NA
"148",1997,"prop_age_1.3","0.0344827586206897","SPA - Mixed Stock Adjusted?",NA,NA
"149",1997,"prop_age_2.1","0.00862068965517241","SPA - Mixed Stock Adjusted?",NA,NA
"150",1997,"prop_age_2.2","0","SPA - Mixed Stock Adjusted?",NA,NA
"151",1997,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"152",1997,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"153",1997,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"154",1997,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"155",1997,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"156",1998,"prop_age_1.1","0.0526315789473684","SPA - Mixed Stock Adjusted?",NA,NA
"157",1998,"prop_age_1.2","0.789473684210526","SPA - Mixed Stock Adjusted?",NA,NA
"158",1998,"prop_age_1.3","0.157894736842105","SPA - Mixed Stock Adjusted?",NA,NA
"159",1998,"prop_age_2.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"160",1998,"prop_age_2.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"161",1998,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"162",1998,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"163",1998,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"164",1998,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"165",1998,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"166",1999,"prop_age_1.1","0.114","SPA - Mixed Stock Adjusted?",NA,NA
"167",1999,"prop_age_1.2","0.849","SPA - Mixed Stock Adjusted?",NA,NA
"168",1999,"prop_age_1.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"169",1999,"prop_age_2.1","0.037","SPA - Mixed Stock Adjusted?",NA,NA
"170",1999,"prop_age_2.2","0","SPA - Mixed Stock Adjusted?",NA,NA
"171",1999,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"172",1999,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"173",1999,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"174",1999,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"175",1999,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"176",2000,"prop_age_1.1","0.13","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"177",2000,"prop_age_1.2","0.84","SPA - Mixed Stock Adjusted?",0.979166666666667,"Deadpitch"
"178",2000,"prop_age_1.3","0.01","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"179",2000,"prop_age_2.1","0.01","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"180",2000,"prop_age_2.2","0.01","SPA - Mixed Stock Adjusted?",0.0208333333333333,"Deadpitch"
"181",2000,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"182",2000,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"183",2000,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"184",2000,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"185",2000,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"186",2001,"prop_age_1.1","0.026","SPA - Wells Dam - similar to ONA spawning grounds",0.0333333333333333,"Deadpitch"
"187",2001,"prop_age_1.2","0.946","SPA - Wells Dam - similar to ONA spawning grounds",0.944444444444444,"Deadpitch"
"188",2001,"prop_age_1.3","0.022","SPA - Wells Dam - similar to ONA spawning grounds",0.0222222222222222,"Deadpitch"
"189",2001,"prop_age_2.1","0.003","SPA - Wells Dam - similar to ONA spawning grounds",0,"Deadpitch"
"190",2001,"prop_age_2.2","0.003","SPA - Wells Dam - similar to ONA spawning grounds",0,"Deadpitch"
"191",2001,"prop_age_2.3","0","SPA - Wells Dam - similar to ONA spawning grounds",NA,NA
"192",2001,"prop_age_3.1",NA,"SPA - Wells Dam - similar to ONA spawning grounds",NA,NA
"193",2001,"prop_age_3.2",NA,"SPA - Wells Dam - similar to ONA spawning grounds",NA,NA
"194",2001,"prop_age_3.3",NA,"SPA - Wells Dam - similar to ONA spawning grounds",NA,NA
"195",2001,"prop_age_4.1",NA,"SPA - Wells Dam - similar to ONA spawning grounds",NA,NA
"196",2002,"prop_age_1.1","0.013","SPA - Mixed Stock Adjusted?",0.112359550561798,"Deadpitch"
"197",2002,"prop_age_1.2","0.497","SPA - Mixed Stock Adjusted?",0.539325842696629,"Deadpitch"
"198",2002,"prop_age_1.3","0.148","SPA - Mixed Stock Adjusted?",0.348314606741573,"Deadpitch"
"199",2002,"prop_age_2.1","0.013","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"200",2002,"prop_age_2.2","0.221","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"201",2002,"prop_age_2.3","0.00699999999999999","SPA - Mixed Stock Adjusted?",NA,NA
"202",2002,"prop_age_3.1","0.007","SPA - Mixed Stock Adjusted?",NA,NA
"203",2002,"prop_age_3.2","0.094","SPA - Mixed Stock Adjusted?",NA,NA
"204",2002,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"205",2002,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"206",2003,"prop_age_1.1","0.273824212375445","SPA - Mixed Stock Adjusted?",0.0553191489361702,"Deadpitch"
"207",2003,"prop_age_1.2","0.489801177459896","SPA - Mixed Stock Adjusted?",0.829787234042553,"Deadpitch"
