"","return_year","age_class","Sample_Size","CRITFC_prop_at_age","CRITFC_method","ONA_prop_at_age","ONA_method"
"159",2011,"prop_age_1.3",394,0.0773415159211933,"PIT/SPA",0.0574712643678161,"Deadpitch"
"160",2011,"prop_age_2.1",394,0.0307233872575653,"PIT/SPA",0.00574712643678161,"Deadpitch"
"161",2011,"prop_age_2.2",394,0.037032152713193,"PIT/SPA",0,"Deadpitch"
"162",2011,"prop_age_2.3",394,0.00206017907085137,"PIT/SPA",NA,NA
"163",2012,"prop_age_1.1",1005,0.0167119858510496,"PIT/SPA",0.00188679245283019,"Deadpitch"
"164",2012,"prop_age_1.2",1005,0.959703840573946,"PIT/SPA",0.971698113207547,"Deadpitch"
"165",2012,"prop_age_1.3",1005,0.0167774956570993,"PIT/SPA",0.00754716981132075,"Deadpitch"
"166",2012,"prop_age_2.1",1005,0.00122447918563716,"PIT/SPA",0.00754716981132075,"Deadpitch"
"167",2012,"prop_age_2.2",1005,0.00558219873226797,"PIT/SPA",0.0113207547169811,"Deadpitch"
"168",2012,"prop_age_2.3",1005,0,"PIT/SPA",NA,NA
"169",2013,"prop_age_1.1",395,0.243,"PIT/SPA",0.176724137931034,"Deadpitch"
"170",2013,"prop_age_1.2",395,0.616,"PIT/SPA",0.620689655172414,"Deadpitch"
"171",2013,"prop_age_1.3",395,0.087,"PIT/SPA",0.0646551724137931,"Deadpitch"
"172",2013,"prop_age_2.1",395,0,"PIT/SPA",0.021551724137931,"Deadpitch"
"173",2013,"prop_age_2.2",395,0.054,"PIT/SPA",0.112068965517241,"Deadpitch"
"174",2013,"prop_age_2.3",395,0,"PIT/SPA",NA,NA
"175",2014,"prop_age_1.1",859,0.174827090323133,"PIT/SPA",0.0657276995305164,"Deadpitch"
"176",2014,"prop_age_1.2",859,0.818906895727552,"PIT/SPA",0.89906103286385,"Deadpitch"
"177",2014,"prop_age_1.3",859,0.00107652209818481,"PIT/SPA",0.0328638497652582,"Deadpitch"
"178",2014,"prop_age_2.1",859,0.0012458208415629,"PIT/SPA",0,"Deadpitch"
"179",2014,"prop_age_2.2",859,0.00394367100956716,"PIT/SPA",0.00234741784037559,"Deadpitch"
"180",2014,"prop_age_2.3",859,0,"PIT/SPA",NA,NA
"181",2015,"prop_age_1.1",143,0.00200400801603206,"PIT/SPA",0,"Deadpitch"
"182",2015,"prop_age_1.2",143,0.971943887775551,"PIT/SPA",0.940740740740741,"Deadpitch"
"183",2015,"prop_age_1.3",143,0.0240480961923848,"PIT/SPA",0.037037037037037,"Deadpitch"
"184",2015,"prop_age_2.1",143,0.00200400801603206,"PIT/SPA",0.0148148148148148,"Deadpitch"
"185",2015,"prop_age_2.2",143,0,"PIT/SPA",0.00740740740740741,"Deadpitch"
"186",2015,"prop_age_2.3",143,0,"PIT/SPA",NA,NA
"187",2016,"prop_age_1.1",1142,0.00949348472739277,"PIT/SPA",0.0101781170483461,"Deadpitch"
"188",2016,"prop_age_1.2",1142,0.959815189818561,"PIT/SPA",0.956743002544529,"Deadpitch"
"189",2016,"prop_age_1.3",1142,0.00715200446431533,"PIT/SPA",0.0254452926208651,"Deadpitch"
"190",2016,"prop_age_2.1",1142,0,"PIT/SPA",0.00254452926208651,"Deadpitch"
"191",2016,"prop_age_2.2",1142,0.023539320989731,"PIT/SPA",0.00508905852417303,"Deadpitch"
"192",2016,"prop_age_2.3",1142,0,"PIT/SPA",NA,NA
"193",2017,"prop_age_1.1",631,0.190215976221029,"PIT/SPA",0.0381282495667244,"Deadpitch"
"194",2017,"prop_age_1.2",631,0.526859482137676,"PIT/SPA",0.75736568457539,"Deadpitch"
"195",2017,"prop_age_1.3",631,0.220941073154509,"PIT/SPA",0.181975736568458,"Deadpitch"
"196",2017,"prop_age_2.1",631,0.0359904010568432,"PIT/SPA",0.0155979202772964,"Deadpitch"
"197",2017,"prop_age_2.2",631,0.0219941339791819,"PIT/SPA",0.00693240901213172,"Deadpitch"
"198",2017,"prop_age_2.3",631,0.00399893345076035,"PIT/SPA",NA,NA
"199",2018,"prop_age_1.1",1642,0.0040135353312194,"PIT/SPA",0.00274725274725275,"Deadpitch"
"200",2018,"prop_age_1.2",1642,0.96347158413521,"PIT/SPA",0.972527472527473,"Deadpitch"
"201",2018,"prop_age_1.3",1642,0.0221671147759569,"PIT/SPA",0.0192307692307692,"Deadpitch"
"202",2018,"prop_age_2.1",1642,0.00403038450471944,"PIT/SPA",0.00274725274725275,"Deadpitch"
"203",2018,"prop_age_2.2",1642,0.00631738125289471,"PIT/SPA",0.00274725274725275,"Deadpitch"
"204",2018,"prop_age_2.3",1642,0,"PIT/SPA",NA,NA
"205",2019,"prop_age_1.1",831,0.545545545545546,"PIT/SPA",0.184100418410042,"Deadpitch"
"206",2019,"prop_age_1.2",831,0.171171171171171,"PIT/SPA",0.5418410041841,"Deadpitch"
"207",2019,"prop_age_1.3",831,0.224224224224224,"PIT/SPA",0.265690376569038,"Deadpitch"
"208",2019,"prop_age_2.1",831,0.012012012012012,"PIT/SPA",0.00418410041841004,"Deadpitch"
"209",2019,"prop_age_2.2",831,0.046046046046046,"PIT/SPA",0.00418410041841004,"Deadpitch"
"210",2019,"prop_age_2.3",831,0.001001001001001,"PIT/SPA",NA,NA
"211",2020,"prop_age_1.1",1346,0.011,"PIT/SPA",0.0092378752886836,"Deadpitch"
"212",2020,"prop_age_1.2",1346,0.984,"PIT/SPA",0.972286374133949,"Deadpitch"
"213",2020,"prop_age_1.3",1346,0.001,"PIT/SPA",0.0184757505773672,"Deadpitch"
"214",2020,"prop_age_2.1",1346,0.002,"PIT/SPA",0,"Deadpitch"
"215",2020,"prop_age_2.2",1346,0.002,"PIT/SPA",0,"Deadpitch"
"216",2020,"prop_age_2.3",1346,0,"PIT/SPA",NA,NA
"217",2021,"prop_age_1.1",1027,0.40520260130065,"PIT/SPA",0.176744186046512,"Deadpitch"
"218",2021,"prop_age_1.2",1027,0.518259129564782,"PIT/SPA",0.762790697674419,"Deadpitch"
"219",2021,"prop_age_1.3",1027,0.0505252626313157,"PIT/SPA",0.0604651162790698,"Deadpitch"
"220",2021,"prop_age_2.1",1027,0.0140070035017509,"PIT/SPA",0,"Deadpitch"
"221",2021,"prop_age_2.2",1027,0.0120060030015008,"PIT/SPA",0,"Deadpitch"
"222",2021,"prop_age_2.3",1027,0,"PIT/SPA",NA,NA
"223",2022,"prop_age_1.1",1115,0.024,"PIT/SPA",0.0190735694822888,"Deadpitch"
"224",2022,"prop_age_1.2",1115,0.95,"PIT/SPA",0.863760217983651,"Deadpitch"
"225",2022,"prop_age_1.3",1115,0.012,"PIT/SPA",0.11716621253406,"Deadpitch"
"226",2022,"prop_age_2.1",1115,0.0085,"PIT/SPA",0,"Deadpitch"
"227",2022,"prop_age_2.2",1115,0.0055,"PIT/SPA",0,"Deadpitch"
"228",2022,"prop_age_2.3",1115,0,"PIT/SPA",NA,NA
"229",2023,"prop_age_1.1",1000,0.166,"PIT/SPA",0.0695364238410596,"Deadpitch"
"230",2023,"prop_age_1.2",1000,0.727,"PIT/SPA",0.751655629139073,"Deadpitch"
"231",2023,"prop_age_1.3",1000,0.004,"PIT/SPA",0.175496688741722,"Deadpitch"
"232",2023,"prop_age_2.1",1000,0.054,"PIT/SPA",0.0033112582781457,"Deadpitch"
"233",2023,"prop_age_2.2",1000,0.049,"PIT/SPA",0,"Deadpitch"
"234",2023,"prop_age_2.3",1000,0,"PIT/SPA",NA,NA
